paid,nombre,contacto
7,Cream entertainment group spa,56961661911
7,Recreo producciones spa,56986784895
7,Grupo previa s.a.,56980793306
8,K INTERNATIONAL,54995547149
6,Litmind,3298627526
10,BRL Eventos,55946915045
7,Cultura ciudadana,56955784400
7,Chocolate stage s.a.,56917441369
7,Eventos y producciones evolucion s.a,56959998762
7,DG Medios y espectaculos s.a.,56916238624
11,903,57950601431
7,Kibon video,56992881968
7,Time for fun (t4f),56910802591
11,Ye & Ca Producciones,57990126019
8,T4F ENTRETENIMIENTOS ARGENTINA,54931160829
8,ESTADIUM LUNA PARK,54935383652
6,Bautrip,3257121198
7,Vision world producciones limitada,56938300005
10,Urban Music,55940395819
7,Productora de eventos moviefan limitada,56942080958
7,Bizarro producciones limitada,56924563324
7,Entertainment group,56935819988
8,LA CRYPTA S.A.,54996544614
7,Actitud creaciones,56945716004
10,Brasil Stands,55926535235
7,Tolten eventos,56994508547
12,MCA,6178001589
5,Planet Events,34984529788
7,Energika eventos limitada,56937421120
6,Top Bruselas,3259496452
7,Fg producciones,56958942074
7,Merci entertainment spa ,56970483595
6,Xceed,3228194846
7,Arte3,56966931492
7,Carlos lopez vega productora de eventos,56945993224
11,Audio Level Eventos,57945999780
7,Medios y contenidos producciones de chile s.a.,56965187907
9,Leading Event Agency,6487891147
8,BLAO,54928648174
7,Sono producciones limitada,56916684498
1,B+D Events,4980743450
7,Andres gardeweg producciones e.i.r.l,56910425417
7,Productora energy in motion limitada,56935087505
5,Producciones Baltimore,34933143000
7,Sociedad comercial mk pro limitada,56980076583
3,Canada Eventos,1457882270
11,Producciones Walter Beat,57916262938
8,EL VASCO PRODUCCIONES,54932741531
7,Productora dreams pro limitada ,56979236210
7,Aguero producciones limitada,56928968013
11,Privadate,57930188930
1,KahnEvents GmbH,4948350929
7,Club de la union,56991030024
7,Backstage rockstore s.a.,56941637925
7,Charco booking spa,56941000398
7,El trebol,56911768392
7,Palma y compania limitada,56966913535
6,Global Journey,3249809958
7,Noix producciones limitada,56953718355
7,Eventos luis maturana ortega e.i.r.l,56926172560
8,PALERMO FILMS S.A.,54919305242
1,Eventlocations Munchen,4968413577
7,Centro de eventos aravena malloco,56968775108
7,Ecopass,56960875261
11,Factor Eventos,57996885255
7,Dives eirl - productora de evento,56999613501
7,German norambuena y cia ltda,56929345513
11,Your Dream,57963294595
8,PRELUDIO PRODUCCIONES S.A.,54934555158
7,Comercial cueto balmaceda limitada,56946319019
5,Grandes Eventos,34986537886
7,Wow.cl,56934542284
7,Lotus festival s.a.,56950372617
7,Sach producciones y eventos limitada,56976265552
7,Glamour,56966710743
7,Universal circus,56975740091
8,ATOMIC FILMS,54940539638
10,Globscorp,55982981217
7,Casa eventos,56914720995
12,Event Hire Sydney,6143432453
7,Lotus sonar spa,56931548178
7,Eventos y banqueteria leonor contreras hormazabal e.i.r.l.,56962720080
11,ROT Entertainment,57976489405
7,Bafochi ltda,56937657085
2,Horwath Productions INC.,166739809
10,Agencia 360,55981319725
3,Mayam Producciones,1877868821
7,Meta proyectos sa,56940929599
12,Millie Millgate,6145268664
7,Yellow House,56958868610
7,G & t business group spa,56954260382
8,CONTENIDOS Y ENTRETENIMIENTOS S.A.,54957987145
5,Ibolele Producciones,34969809830
5,Mouro Producciones,34987009709
8,COMPAÑÍA ARGENTINA DE SUEÑOS,54950205631
11,Sinstress Eventos,57949881782
2,Los Angeles AV Production,129530188
1,Nachhaltige Events,4972642958
7,Ee - servicio de eventos,56994376160
8,PROSPERO PRODUCCIONES,54981121681
1,Bierlinerin,4954523627
2,AEG,138339286
11,AVANT GARDE RP,57950600008
11,Eventos F.C,57989921001
9,Ethno Nueva Zelanda,6416660401
8,MD+,54977219062
9,Lets Dance,6477349795
2,Hartmann Studios,182398718
11,Dnj Producciones,57944470684
11,Freedom Eventos,57956812388
9,Queenstown Event Company,6495091750
2,Event Production Company,114142196
2,Eveerlast Productions INC.,151359131
9,Event Management NZ,6445721253
7,Nikkita producciones spa,56996308812
5,IndyRock,34911917911
