time,place,status,tsunami,significance,data_type,magnitude,state,longitude,latitude,depth,date,days_since_last
909937976310,"52 km NNW of Fayzabad, Afghanistan",reviewed,0,234,earthquake,3.9," Afghanistan",70.316,37.543,33.0,1998-11-01 16:32:56.310000+00:00,58.0
918742131680,"27 km WNW of ?uk?mat? Azrah, Afghanistan",reviewed,0,554,earthquake,6.0," Afghanistan",69.364,34.259,33.0,1999-02-11 14:08:51.680000+00:00,101.0
929027241230,"57 km SSW of Ashk?sham, Afghanistan",reviewed,0,416,earthquake,5.2," Afghanistan",71.212,36.237,111.8,1999-06-10 15:07:21.230000+00:00,119.0
942079543020,"31 km SW of Ashk?sham, Afghanistan",reviewed,0,650,earthquake,6.5," Afghanistan",71.24,36.522,228.4,1999-11-08 16:45:43.020000+00:00,151.0
997836342640,"35 km ESE of Farkh?r, Afghanistan",reviewed,0,326,earthquake,4.6," Afghanistan",70.223,36.457,149.9,2001-08-15 00:45:42.640000+00:00,645.0
1015157299740,"51 km SW of Jurm, Afghanistan",reviewed,0,842,earthquake,7.4," Afghanistan",70.482,36.502,225.6,2002-03-03 12:08:19.740000+00:00,200.0
1070000694590,"27 km SW of Qar?wul, Afghanistan",reviewed,0,369,earthquake,4.9," Afghanistan",68.573,37.036,33.0,2003-11-28 06:24:54.590000+00:00,634.0
1071631662180,"19 km W of Jurm, Afghanistan",reviewed,0,246,earthquake,4.0," Afghanistan",70.623,36.834,200.0,2003-12-17 03:27:42.180000+00:00,18.0
1125829107390,"37 km SW of Ashk?sham, Afghanistan",reviewed,0,188,earthquake,3.5," Afghanistan",71.2,36.48,72.3,2005-09-04 10:18:27.390000+00:00,627.0
1128805704890,"38 km S of Jurm, Afghanistan",reviewed,0,298,earthquake,4.4," Afghanistan",70.805,36.517,147.1,2005-10-08 21:08:24.890000+00:00,34.0
1138287845750,"36 km SSW of Jurm, Afghanistan",reviewed,0,148,earthquake,3.1," Afghanistan",70.634,36.58,43.9,2006-01-26 15:04:05.750000+00:00,109.0
1185131372840,"9 km WSW of Tag?b, Afghanistan",reviewed,0,211,earthquake,3.7," Afghanistan",69.55,34.836,32.8,2007-07-22 19:09:32.840000+00:00,542.0
1215829267160,"21 km SW of Ashk?sham, Afghanistan",reviewed,0,259,earthquake,4.1," Afghanistan",71.346,36.563,108.9,2008-07-12 02:21:07.160000+00:00,355.0
1231014200180,"50 km S of Jurm, Afghanistan",reviewed,0,765,earthquake,6.6," Afghanistan",70.743,36.419,204.8,2009-01-03 20:23:20.180000+00:00,175.0
1284751275010,"47 km S of Jurm, Afghanistan",reviewed,0,907,earthquake,6.3," Afghanistan",70.774,36.443,220.1,2010-09-17 19:21:15.010000+00:00,621.0
1376788443350,"11 km WSW of Ashk?sham, Afghanistan",reviewed,0,298,earthquake,4.4," Afghanistan",71.4233,36.6342,180.48,2013-08-18 01:14:03.350000+00:00,1065.0
1445850582560,"Hindu Kush region, Afghanistan",reviewed,0,1448,earthquake,7.5," Afghanistan",70.3676,36.5244,231.0,2015-10-26 09:09:42.560000+00:00,799.0
1445906677510,"34 km ESE of Farkh?r, Afghanistan",reviewed,0,246,earthquake,4.0," Afghanistan",70.2149,36.4639,204.31,2015-10-27 00:44:37.510000+00:00,0.0
1460284138720,"42 km WSW of Ashk?sham, Afghanistan",reviewed,0,738,earthquake,6.6," Afghanistan",71.1311,36.4725,212.0,2016-04-10 10:28:58.720000+00:00,166.0
1479687340150,"42 km E of Farkh?r, Afghanistan",reviewed,0,246,earthquake,4.0," Afghanistan",70.332,36.5185,187.38,2016-11-21 00:15:40.150000+00:00,224.0
1510566123600,"47 km S of Farkh?r, Afghanistan",reviewed,0,312,earthquake,4.5," Afghanistan",69.941,36.1463,120.93,2017-11-13 09:42:03.600000+00:00,357.0
1576572826448,"38 km ESE of Farkh?r, Afghanistan",reviewed,0,259,earthquake,4.1," Afghanistan",70.2745,36.5049,201.21,2019-12-17 08:53:46.448000+00:00,763.0
1576841992874,"49 km SW of Jurm, Afghanistan",reviewed,0,712,earthquake,6.1," Afghanistan",70.4555,36.5374,212.0,2019-12-20 11:39:52.874000+00:00,3.0
1619830017064,"45 km NE of Jurm, Afghanistan",reviewed,0,271,earthquake,4.2," Afghanistan",71.2027,37.1542,38.66,2021-05-01 00:46:57.064000+00:00,497.0
1116504254980,"9 km W of Millport, Alabama",reviewed,0,62,earthquake,2.0," Alabama",-88.1855,33.554,0.03,2005-05-19 12:04:14.980000+00:00,
959513527000,"13 km S of Winfield, Alabama",reviewed,0,138,earthquake,3.0," Alabama",-87.82,33.81,5.0,,
636615779050,"45 km SE of Denali National Park, Alaska",reviewed,0,50,earthquake,1.8," Alaska",-151.0333,63.2713,16.1,1990-03-05 05:42:59.050000+00:00,
637252879480,"97 km SW of Atka, Alaska",reviewed,0,630,earthquake,6.4," Alaska",-175.032,51.484,13.8,1990-03-12 14:41:19.480000+00:00,7.0
648349143590,"46 km SW of Cantwell, Alaska",reviewed,0,81,earthquake,2.3," Alaska",-149.514,63.0597,40.7,1990-07-19 00:59:03.590000+00:00,128.0
649849785810,"57 km E of Port Alsworth, Alaska",reviewed,0,112,earthquake,2.7," Alaska",-153.2763,60.194,136.5,1990-08-05 09:49:45.810000+00:00,17.0
652454838280,"72 km SSE of Atka, Alaska",reviewed,0,416,earthquake,5.2," Alaska",-173.847,51.583,52.9,1990-09-04 13:27:18.280000+00:00,30.0
657922469740,"231 km WNW of Attu Station, Alaska",reviewed,0,776,earthquake,7.1," Alaska",169.871,53.452,24.8,1990-11-06 20:14:29.740000+00:00,63.0
658712972400,"3 km NW of Ridgeway, Alaska",reviewed,0,44,earthquake,1.7," Alaska",-151.1265,60.5525,54.3,1990-11-15 23:49:32.400000+00:00,9.0
661955921720,"62 km ENE of Pedro Bay, Alaska",reviewed,0,81,earthquake,2.3," Alaska",-153.0132,59.912,118.9,1990-12-23 12:38:41.720000+00:00,37.0
671172338130,"85 km S of False Pass, Alaska",reviewed,0,259,earthquake,4.1," Alaska",-163.594,54.089,33.0,1991-04-09 04:45:38.130000+00:00,106.0
673285025640,"297 km SW of Yakutat, Alaska",reviewed,0,121,earthquake,2.8," Alaska",-142.969,57.487,10.0,1991-05-03 15:37:05.640000+00:00,24.0
673577820630,"38 km ESE of Denali National Park, Alaska",reviewed,0,56,earthquake,1.9," Alaska",-150.9777,63.4675,16.4,1991-05-07 00:57:00.630000+00:00,3.0
674488141420,"32 km NNW of Valdez, Alaska",reviewed,0,68,earthquake,2.1," Alaska",-146.5715,61.4052,21.6,1991-05-17 13:49:01.420000+00:00,10.0
675115469920,"76 km W of Salamatof, Alaska",reviewed,0,96,earthquake,2.5," Alaska",-152.6957,60.5265,6.7,1991-05-24 20:04:29.920000+00:00,7.0
675121357050,"78 km W of Salamatof, Alaska",reviewed,0,12,earthquake,0.9," Alaska",-152.7295,60.5135,8.6,1991-05-24 21:42:37.050000+00:00,0.0
675609461970,"71 km SE of King Cove, Alaska",reviewed,0,754,earthquake,7.0," Alaska",-161.606,54.567,28.4,1991-05-30 13:17:41.970000+00:00,5.0
679223184460,"208 km WNW of Attu Station, Alaska",reviewed,0,271,earthquake,4.2," Alaska",170.171,53.313,33.0,1991-07-11 09:06:24.460000+00:00,41.0
682174406020,"163 km N of Nikolski, Alaska",reviewed,0,554,earthquake,6.0," Alaska",-169.296,54.389,274.8,1991-08-14 12:53:26.020000+00:00,34.0
682679221520,"62 km ENE of Chase, Alaska",reviewed,0,74,earthquake,2.2," Alaska",-149.0268,62.7188,54.0,1991-08-20 09:07:01.520000+00:00,5.0
683457487440,"74 km E of Port Alsworth, Alaska",reviewed,0,129,earthquake,2.9," Alaska",-152.988,60.3297,149.2,1991-08-29 09:18:07.440000+00:00,9.0
684428623120,"128 km WSW of Adak, Alaska",reviewed,0,465,earthquake,5.5," Alaska",-178.199,51.256,33.0,1991-09-09 15:03:43.120000+00:00,11.0
684989196460,"19 km NNE of Beluga, Alaska",reviewed,0,96,earthquake,2.5," Alaska",-150.9202,61.2975,53.3,1991-09-16 02:46:36.460000+00:00,6.0
686028160860,"67 km E of Port Alsworth, Alaska",reviewed,0,81,earthquake,2.3," Alaska",-153.0928,60.1997,126.4,1991-09-28 03:22:40.860000+00:00,12.0
686970061260,"58 km SE of Cantwell, Alaska",reviewed,0,121,earthquake,2.8," Alaska",-148.1323,63.0178,10.9,1991-10-09 01:01:01.260000+00:00,10.0
693018342730,"5 km NW of Ester, Alaska",reviewed,0,4,explosion,0.5," Alaska",-148.0782,64.8858,-0.5,1991-12-18 01:05:42.730000+00:00,70.0
696122823240,"51 km NE of Unalakleet, Alaska",reviewed,0,188,earthquake,3.5," Alaska",-160.159,64.243,-3.0,1992-01-22 23:27:03.240000+00:00,35.0
700502464480,"170 km WNW of Adak, Alaska",reviewed,0,630,earthquake,6.4," Alaska",-178.945,52.451,197.4,1992-03-13 16:01:04.480000+00:00,50.0
704501452120,"15 km WSW of Mud Bay, Alaska",reviewed,0,74,earthquake,2.2," Alaska",-135.6145,59.0933,10.0,1992-04-28 22:50:52.120000+00:00,46.0
709114277750,"61 km SSE of Kokhanok, Alaska",reviewed,0,89,earthquake,2.4," Alaska",-154.5147,58.903,114.8,1992-06-21 08:11:17.750000+00:00,53.0
709189084230,"66 km S of Chenega, Alaska",reviewed,0,148,earthquake,3.1," Alaska",-148.0208,59.4705,14.2,1992-06-22 04:58:04.230000+00:00,0.0
710037368230,"63 km WNW of Tyonek, Alaska",reviewed,0,1,earthquake,0.3," Alaska",-152.2372,61.2697,3.6,1992-07-02 00:36:08.230000+00:00,9.0
710277011370,"8 km NE of Eureka Roadhouse, Alaska",reviewed,0,96,earthquake,2.5," Alaska",-147.0765,62.0013,45.2,1992-07-04 19:10:11.370000+00:00,2.0
713084577690,"53 km N of Petersville, Alaska",reviewed,0,138,earthquake,3.0," Alaska",-150.6653,62.9748,119.2,1992-08-06 07:02:57.690000+00:00,32.0
713211560440,"283 km SW of Yakutat, Alaska",reviewed,0,732,earthquake,6.9," Alaska",-142.846,57.589,13.6,1992-08-07 18:19:20.440000+00:00,1.0
720464805970,"30 km NE of Pedro Bay, Alaska",reviewed,0,104,earthquake,2.6," Alaska",-153.7778,60.0063,166.1,1992-10-30 17:06:45.970000+00:00,83.0
732402067070,"59 km SE of Pedro Bay, Alaska",reviewed,0,158,earthquake,3.2," Alaska",-153.3222,59.4353,111.2,1993-03-17 21:01:07.070000+00:00,138.0
735067596120,"31 km NW of Petersville, Alaska",reviewed,0,104,earthquake,2.6," Alaska",-151.242,62.6748,86.8,1993-04-17 17:26:36.120000+00:00,30.0
737294389250,"17 km S of Sand Point, Alaska",reviewed,0,732,earthquake,6.9," Alaska",-160.458,55.177,32.3,1993-05-13 11:59:49.250000+00:00,25.0
737502745340,"151 km WSW of Adak, Alaska",reviewed,0,732,earthquake,6.9," Alaska",-178.669,51.374,32.0,1993-05-15 21:52:25.340000+00:00,2.0
737755841580,"26 km SSW of Petersville, Alaska",reviewed,0,74,earthquake,2.2," Alaska",-150.952,62.2702,77.8,1993-05-18 20:10:41.580000+00:00,2.0
743075929280,"38 km ENE of King Cove, Alaska",reviewed,0,178,earthquake,3.4," Alaska",-161.726,55.136,50.0,1993-07-19 09:58:49.280000+00:00,61.0
747672987860,"249 km SW of Yakutat, Alaska",reviewed,0,211,earthquake,3.7," Alaska",-142.995,58.086,10.0,1993-09-10 14:56:27.860000+00:00,53.0
750336482280,"66 km WSW of Cantwell, Alaska",reviewed,0,129,earthquake,2.9," Alaska",-150.0812,63.0787,96.3,1993-10-11 10:48:02.280000+00:00,30.0
751182579740,"31 km W of Petersville, Alaska",reviewed,0,62,earthquake,2.0," Alaska",-151.3655,62.5525,93.2,1993-10-21 05:49:39.740000+00:00,9.0
753502318720,"20 km E of Pedro Bay, Alaska",reviewed,0,222,earthquake,3.8," Alaska",-153.74,59.8045,135.3,1993-11-17 02:11:58.720000+00:00,26.0
753673403780,"79 km SW of False Pass, Alaska",reviewed,0,650,earthquake,6.5," Alaska",-164.164,54.287,30.3,1993-11-19 01:43:23.780000+00:00,1.0
757519870910,"45 km NW of Ninilchik, Alaska",reviewed,0,104,earthquake,2.6," Alaska",-152.283,60.3267,93.6,1994-01-02 14:11:10.910000+00:00,44.0
762001742960,"50 km SSE of Kokhanok, Alaska",reviewed,0,148,earthquake,3.1," Alaska",-154.344,59.047,117.5,1994-02-23 11:09:02.960000+00:00,51.0
763434255320,"60 km W of Anchor Point, Alaska",reviewed,0,96,earthquake,2.5," Alaska",-152.896,59.6988,89.5,1994-03-12 01:04:15.320000+00:00,16.0
770807781510,"49 km ENE of Pedro Bay, Alaska",reviewed,0,129,earthquake,2.9," Alaska",-153.329,59.99,137.7,1994-06-05 09:16:21.510000+00:00,85.0
772524277210,"19 km SW of Susitna, Alaska",reviewed,0,96,earthquake,2.5," Alaska",-150.8017,61.436,59.3,1994-06-25 06:04:37.210000+00:00,19.0
782820833990,"52 km WNW of Nanwalek, Alaska",reviewed,0,138,earthquake,3.0," Alaska",-152.8205,59.4828,78.5,1994-10-22 10:13:53.990000+00:00,119.0
785370590840,"7 km ESE of Ninilchik, Alaska",reviewed,0,56,earthquake,1.9," Alaska",-151.5435,60.0358,42.6,1994-11-20 22:29:50.840000+00:00,29.0
795460126310,"32 km E of Anderson, Alaska",reviewed,0,35,earthquake,1.5," Alaska",-148.5268,64.301,29.5,1995-03-17 17:08:46.310000+00:00,116.0
798605755110,"260 km WSW of Adak, Alaska",reviewed,0,650,earthquake,6.5," Alaska",179.714,51.334,16.9,1995-04-23 02:55:55.110000+00:00,36.0
799740382070,"37 km WNW of Salamatof, Alaska",reviewed,0,81,earthquake,2.3," Alaska",-151.9688,60.7133,79.8,1995-05-06 06:06:22.070000+00:00,13.0
801393383800,"37 km NE of Pedro Bay, Alaska",reviewed,0,148,earthquake,3.1," Alaska",-153.6978,60.0577,162.6,1995-05-25 09:16:23.800000+00:00,19.0
802351218880,"28 km WSW of Tyonek, Alaska",reviewed,0,68,earthquake,2.1," Alaska",-151.6192,60.9558,76.3,1995-06-05 11:20:18.880000+00:00,11.0
810042895620,"36 km ENE of Livengood, Alaska",reviewed,0,68,earthquake,2.1," Alaska",-147.8132,65.6413,15.0,1995-09-02 11:54:55.620000+00:00,89.0
812757223560,"45 km S of South Van Horn, Alaska",reviewed,0,96,earthquake,2.5," Alaska",-147.9295,64.404,16.6,1995-10-03 21:53:43.560000+00:00,31.0
812819553940,"54 km WSW of Attu Station, Alaska",reviewed,0,536,earthquake,5.9," Alaska",172.412,52.711,27.0,1995-10-04 15:12:33.940000+00:00,0.0
816121882430,"88 km SE of Prudhoe Bay, Alaska",reviewed,0,222,earthquake,3.8," Alaska",-146.846,69.644,10.0,1995-11-11 20:31:22.430000+00:00,38.0
818706675060,"58 km NW of Ninilchik, Alaska",reviewed,0,104,earthquake,2.6," Alaska",-152.4877,60.3843,97.0,1995-12-11 18:31:15.060000+00:00,29.0
821482587770,"50 km SSE of Pedro Bay, Alaska",reviewed,0,121,earthquake,2.8," Alaska",-153.6503,59.3948,120.2,1996-01-12 21:36:27.770000+00:00,32.0
822634461650,"31 km NNW of Glacier View, Alaska",reviewed,0,121,earthquake,2.8," Alaska",-147.8357,62.081,32.6,1996-01-26 05:34:21.650000+00:00,13.0
822762071200,"30 km E of Bear Creek, Alaska",reviewed,0,62,earthquake,2.0," Alaska",-148.8533,60.205,24.0,1996-01-27 17:01:11.200000+00:00,1.0
826679936250,"36 km WNW of Salamatof, Alaska",reviewed,0,121,earthquake,2.8," Alaska",-151.9612,60.715,83.3,1996-03-13 01:18:56.250000+00:00,45.0
830520399550,"36 km ESE of Nikolski, Alaska",reviewed,0,465,earthquake,5.5," Alaska",-168.364,52.816,33.0,1996-04-26 12:06:39.550000+00:00,44.0
832068029220,"63 km WSW of Nanwalek, Alaska",reviewed,0,89,earthquake,2.4," Alaska",-152.9003,59.0953,69.7,1996-05-14 10:00:29.220000+00:00,17.0
833201359950,"34 km E of Minto, Alaska",reviewed,0,74,earthquake,2.2," Alaska",-148.6203,65.1245,11.0,1996-05-27 12:49:19.950000+00:00,13.0
834379415480,"77 km WSW of Adak, Alaska",reviewed,0,960,earthquake,7.9," Alaska",-177.632,51.564,33.0,1996-06-10 04:03:35.480000+00:00,13.0
834381567250,"106 km SW of Adak, Alaska",reviewed,0,385,earthquake,5.0," Alaska",-177.729,51.201,33.0,1996-06-10 04:39:27.250000+00:00,0.0
834631490780,"122 km WSW of Adak, Alaska",reviewed,0,298,earthquake,4.4," Alaska",-178.345,51.576,33.0,1996-06-13 02:04:50.780000+00:00,2.0
836978432700,"166 km WSW of Nikolski, Alaska",reviewed,0,168,earthquake,3.3," Alaska",-171.073,52.285,33.0,1996-07-10 06:00:32.700000+00:00,27.0
842948337620,"10 km SSW of Trapper Creek, Alaska",reviewed,0,81,earthquake,2.3," Alaska",-150.3385,62.2323,14.9,1996-09-17 08:18:57.620000+00:00,69.0
846292591090,"5 km NNE of Healy, Alaska",reviewed,0,74,explosion,2.2," Alaska",-148.9293,63.8993,1.1,1996-10-26 01:16:31.090000+00:00,38.0
853766193840,"136 km SSE of Old Harbor, Alaska",reviewed,0,416,earthquake,5.2," Alaska",-152.3462,56.0968,10.0,1997-01-20 13:16:33.840000+00:00,86.0
854218784750,"12 km N of Larsen Bay, Alaska",reviewed,0,188,earthquake,3.5," Alaska",-153.9628,57.6493,43.8,1997-01-25 18:59:44.750000+00:00,5.0
859342137270,"273 km WSW of Adak, Alaska",reviewed,0,691,earthquake,6.7," Alaska",179.533,51.277,33.0,1997-03-26 02:08:57.270000+00:00,59.0
862205492110,"138 km S of False Pass, Alaska",reviewed,0,168,earthquake,3.3," Alaska",-163.023,53.631,33.0,1997-04-28 05:31:32.110000+00:00,33.0
863051181650,"5 km WSW of Meadow Lakes, Alaska",reviewed,0,62,earthquake,2.0," Alaska",-149.7023,61.603,31.4,1997-05-08 00:26:21.650000+00:00,9.0
863098164600,"189 km SW of Nikolski, Alaska",reviewed,0,554,earthquake,6.0," Alaska",-170.799,51.717,33.0,1997-05-08 13:29:24.600000+00:00,0.0
863763708850,"27 km ESE of Valdez, Alaska",reviewed,0,2,earthquake,0.4," Alaska",-145.9037,61.0038,24.8,1997-05-16 06:21:48.850000+00:00,7.0
864202122070,"57 km ENE of Pedro Bay, Alaska",reviewed,0,89,earthquake,2.4," Alaska",-153.2183,60.0538,127.7,1997-05-21 08:08:42.070000+00:00,5.0
866581420260,"195 km WSW of Adak, Alaska",reviewed,0,630,earthquake,6.4," Alaska",-179.332,51.347,33.0,1997-06-17 21:03:40.260000+00:00,27.0
867258418940,"6 km ENE of Healy, Alaska",reviewed,0,104,earthquake,2.6," Alaska",-148.8362,63.879,115.4,1997-06-25 17:06:58.940000+00:00,7.0
869217597260,"175 km WSW of Adak, Alaska",reviewed,0,259,earthquake,4.1," Alaska",-178.889,51.158,33.0,1997-07-18 09:19:57.260000+00:00,22.0
873827370120,"46 km NNE of Larsen Bay, Alaska",reviewed,0,234,earthquake,3.9," Alaska",-153.6612,57.9177,48.0,1997-09-09 17:49:30.120000+00:00,53.0
875863364720,"48 km NNE of Petersville, Alaska",reviewed,0,89,earthquake,2.4," Alaska",-150.522,62.918,89.3,1997-10-03 07:22:44.720000+00:00,23.0
876652951620,"82 km ESE of Cantwell, Alaska",reviewed,0,56,earthquake,1.9," Alaska",-147.3427,63.2453,9.2,1997-10-12 10:42:31.620000+00:00,9.0
877048082520,"63 km N of Petersville, Alaska",reviewed,0,199,earthquake,3.6," Alaska",-150.6307,63.063,122.7,1997-10-17 00:28:02.520000+00:00,4.0
878819546010,"87 km NNE of Nikolski, Alaska",reviewed,0,246,earthquake,4.0," Alaska",-168.414,53.677,100.0,1997-11-06 12:32:26.010000+00:00,20.0
882270038980,"42 km WNW of Happy Valley, Alaska",reviewed,0,121,earthquake,2.8," Alaska",-152.4382,60.102,92.0,1997-12-16 11:00:38.980000+00:00,39.0
882818112420,"99 km S of Sand Point, Alaska",reviewed,0,178,earthquake,3.4," Alaska",-160.63,54.447,25.3,1997-12-22 19:15:12.420000+00:00,6.0
883500363760,"80 km E of McCarthy, Alaska",reviewed,0,112,earthquake,2.7," Alaska",-141.4278,61.5465,-3.0,1997-12-30 16:46:03.760000+00:00,7.0
884226656040,"273 km WSW of Adak, Alaska",reviewed,0,449,earthquake,5.4," Alaska",179.562,51.213,33.0,1998-01-08 02:30:56.040000+00:00,8.0
889920691540,"10 km W of Tyonek, Alaska",reviewed,0,89,earthquake,2.4," Alaska",-151.3245,61.0637,61.2,1998-03-15 00:11:31.540000+00:00,65.0
894850903640,"39 km WNW of Central, Alaska",reviewed,0,62,earthquake,2.0," Alaska",-145.5495,65.7397,7.4,1998-05-11 01:41:43.640000+00:00,57.0
895046209110,"77 km E of Akutan, Alaska",reviewed,0,246,earthquake,4.0," Alaska",-164.606,54.248,109.6,1998-05-13 07:56:49.110000+00:00,2.0
897834707400,"21 km SW of Susitna, Alaska",reviewed,0,138,earthquake,3.0," Alaska",-150.7578,61.3865,58.1,1998-06-14 14:31:47.400000+00:00,32.0
898497003790,"14 km WSW of Trapper Creek, Alaska",reviewed,0,74,earthquake,2.2," Alaska",-150.4867,62.2595,61.5,1998-06-22 06:30:03.790000+00:00,7.0
901236467230,"56 km ESE of Egegik, Alaska",reviewed,0,89,earthquake,2.4," Alaska",-156.4518,58.064,1.4,1998-07-23 23:27:47.230000+00:00,31.0
903736762510,"45 km W of Salamatof, Alaska",reviewed,0,44,earthquake,1.7," Alaska",-152.1415,60.6063,84.4,1998-08-21 21:59:22.510000+00:00,28.0
904506918190,"6 km N of Hope, Alaska",reviewed,0,222,earthquake,3.8," Alaska",-149.658,60.9733,30.6,1998-08-30 19:55:18.190000+00:00,8.0
905541669350,"54 km ENE of Pedro Bay, Alaska",reviewed,0,89,earthquake,2.4," Alaska",-153.2593,60.0295,125.6,1998-09-11 19:21:09.350000+00:00,11.0
905815006830,"96 km SE of Atka, Alaska",reviewed,0,572,earthquake,6.1," Alaska",-173.15,51.618,33.0,1998-09-14 23:16:46.830000+00:00,3.0
917511005420,"18 km WSW of Nikolski, Alaska",reviewed,0,670,earthquake,6.6," Alaska",-169.123,52.886,67.2,1999-01-28 08:10:05.420000+00:00,135.0
921926865930,"78 km WSW of Adak, Alaska",reviewed,0,732,earthquake,6.9," Alaska",-177.668,51.587,33.0,1999-03-20 10:47:45.930000+00:00,51.0
926086431470,"129 km SSE of Old Harbor, Alaska",reviewed,0,591,earthquake,6.2," Alaska",-152.3248,56.1745,10.0,1999-05-07 14:13:51.470000+00:00,48.0
928567479230,"7 km SE of Happy Valley, Alaska",reviewed,0,44,earthquake,1.7," Alaska",-151.6472,59.9003,60.6,1999-06-05 07:24:39.230000+00:00,28.0
933852392831,"137 km SSE of Sand Point, Alaska",reviewed,0,188,earthquake,3.5," Alaska",-159.8465,54.1603,1.9,1999-08-05 11:26:32.831000+00:00,61.0
934661349680,"139 km S of False Pass, Alaska",reviewed,0,354,earthquake,4.8," Alaska",-163.534,53.603,33.0,1999-08-14 20:09:09.680000+00:00,9.0
935129179145,"83 km WNW of Aleneva, Alaska",reviewed,0,168,earthquake,3.3," Alaska",-154.1599,58.4185,90.7,1999-08-20 06:06:19.145000+00:00,5.0
938419528995,"34 km W of Seward, Alaska",reviewed,0,158,earthquake,3.2," Alaska",-150.0609,60.1231,36.2,1999-09-27 08:05:28.995000+00:00,38.0
942907303096,"106 km WNW of Arctic Village, Alaska",reviewed,0,199,earthquake,3.6," Alaska",-147.7933,68.5882,11.2,1999-11-18 06:41:43.096000+00:00,51.0
944521953537,"26 km SSE of Karluk, Alaska",reviewed,0,754,earthquake,7.0," Alaska",-154.3469,57.3424,43.6,1999-12-06 23:12:33.537000+00:00,18.0
948460762630,"50 km WNW of Anchor Point, Alaska",reviewed,0,68,earthquake,2.1," Alaska",-152.7151,59.8704,92.9,2000-01-21 13:19:22.630000+00:00,45.0
948992108725,"2 km WSW of Hope, Alaska",reviewed,0,35,earthquake,1.5," Alaska",-149.6769,60.9085,31.3,2000-01-27 16:55:08.725000+00:00,6.0
949370752290,"107 km W of Nikolski, Alaska",reviewed,0,222,earthquake,3.8," Alaska",-170.424,52.765,92.2,2000-02-01 02:05:52.290000+00:00,4.0
952237131019,"52 km SSE of Glacier View, Alaska",reviewed,0,22,earthquake,1.2," Alaska",-147.1192,61.4161,19.0,2000-03-05 06:18:51.019000+00:00,33.0
